name	subsystem	count	max_count	min_count	avg_count
os_data_fsyncs	os	956462	956462	NULL	19.341219768664562
os_log_bytes_written	os	770449920	770449920	NULL	15579.752487260374
os_log_fsyncs	os	140402	140402	NULL	2.839157162501011
os_log_pending_fsyncs	os	0	1	0	0
os_log_pending_writes	os	0	1	0	0
log_waits	recovery	0	0	NULL	0
log_write_requests	recovery	1912523	1912523	NULL	38.6743306640783
log_writes	recovery	139405	139405	NULL	2.8189961983337377
adaptive_hash_searches	adaptive_hash_index	70353	70353	NULL	1.42265226886678
ibuf_merges_insert	change_buffer	604051	604051	NULL	12.214895251961497
ibuf_merges_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_delete	change_buffer	0	0	NULL	0
ibuf_merges_discard_insert	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete	change_buffer	0	0	NULL	0
ibuf_merges	change_buffer	525075	525075	NULL	10.617871875758311
ibuf_size	change_buffer	56	269	NULL	0.001132411227048451
innodb_activity_count	server	6183213	6183213	NULL	125.03463965057026
innodb_dblwr_writes	server	525857	525857	NULL	10.63368518967888
innodb_dblwr_pages_written	server	3749606	3749606	NULL	75.8231416322899
innodb_rwlock_s_spin_waits	server	1820327	1820327	NULL	36.80997735177546
innodb_rwlock_x_spin_waits	server	66303	66303	NULL	1.3407546711963116
innodb_rwlock_s_spin_rounds	server	76065823	76065823	NULL	1538.1748564264337
innodb_rwlock_x_spin_rounds	server	7608023	7608023	NULL	153.8466189436221
innodb_rwlock_s_os_waits	server	2345901	2345901	NULL	47.437939820431936
innodb_rwlock_x_os_waits	server	237660	237660	NULL	4.805872361077409
dml_reads	dml	5729374	5729374	NULL	115.85727574213378
dml_inserts	dml	670951	670951	NULL	13.567722235703307
dml_deletes	dml	51533	51533	NULL	1.0420812100622827
dml_updates	dml	1341229	1341229	NULL	27.12183531505298
lock_row_lock_current_waits	lock	1	5	NULL	0.000020217540738344587
lock_row_lock_time	lock	3718657	3718657	NULL	75.18209938943026
lock_row_lock_waits	lock	1125	1125	NULL	0.022744733330637663
buffer_pool_reads	buffer	17868308	17868308	NULL	361.2532449152885
buffer_pool_read_requests	buffer	63582842	63582842	NULL	1285.4886983947272
buffer_pool_write_requests	buffer	10489883	10489883	NULL	212.07963689296835
buffer_pool_wait_free	buffer	490127	490127	NULL	9.909162589462618
buffer_pool_read_ahead	buffer	0	0	NULL	0
buffer_pool_read_ahead_evicted	buffer	3605	3605	NULL	0.07288423436173223
buffer_pages_created	buffer	21213	21213	NULL	0.42887469168250375
buffer_pages_written	buffer	3754727	3754727	NULL	75.91134608386236
buffer_pages_read	buffer	18369009	18369009	NULL	371.37618778051836
buffer_data_reads	buffer	300960059392	300960059392	NULL	6084672.261372367
buffer_data_written	buffer	123805722112	123805722112	NULL	2503047.2304395293
os_data_reads	os	18333941	18333941	NULL	370.6671990619061
os_data_writes	os	4242953	4242953	NULL	85.78207512838138
os_data_fsyncs	os	957644	957644	NULL	19.361206582831265
